"全片镜号","集","段","镜","全片开始秒","集内开始秒","集内结束秒","段内开始秒","设计时长","H3兜底生成秒","景别","运镜","人物","道具","中文内容","首帧","可选尾帧","目标视频文件","字幕/对白","声音","后期叠加","剪辑备注"
"149","5","E05-06","2","506.5","56.5","59.5","4","3","3","特写","固定","程野","真正的载货联单","程野指向同一张联单右下角缺一角、向左带短晕尾的暗紫方章：‘右下角，是他的私章。’","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-06\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-06\f3.png","generated-videos/E05-06/E05-06-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-06/镜2","参见 offline-production/sound-music-cues.csv：E05-06","无","可用首尾帧约束；按设计时长回切"
"150","5","E05-06","3","509.5","59.5","64","7","4.5","5","中景","固定","许知遥","橙色应急电台","动作：许知遥用无字回拨控件执行一次倒回操作，随后闭口听录音；画面只显示抽象波形，不显示数字、时间码或按钮文字。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-06\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-06\f4.png","generated-videos/E05-06/E05-06-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-06/镜3","参见 offline-production/sound-music-cues.csv：E05-06","无","可用首尾帧约束；按设计时长回切"
"151","5","E05-06","4","514","64","67.5","11.5","3.5","4","中景","推镜","许知遥、程野","橙色应急电台","动作：录音深处传来孩子连续的哭声。；许潮：“舱里还有孩子。”（一边跑一边说）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-06\f4.png","","generated-videos/E05-06/E05-06-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-06/镜4","参见 offline-production/sound-music-cues.csv：E05-06","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"152","5","E05-07","1","517.5","67.5","70.5","0","3","3","中景","固定","许知遥、程野","橙色应急电台","许潮：“我回去带他出来。”（没有犹豫）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-07\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-07\f2.png","generated-videos/E05-07/E05-07-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-07/镜1","参见 offline-production/sound-music-cues.csv：E05-07","无","可用首尾帧约束；按设计时长回切"
"153","5","E05-07","2","520.5","70.5","74","3","3.5","4","中景","固定","许知遥、程野","橙色应急电台","动作：急促脚步声远去，爆音随即盖过录音。；许知遥：“哥。”（第一次失去平稳）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-07\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-07\f3.png","generated-videos/E05-07/E05-07-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-07/镜2","参见 offline-production/sound-music-cues.csv：E05-07","无","可用首尾帧约束；按设计时长回切"
"154","5","E05-07","3","524","74","77.5","6.5","3.5","4","中景","推镜","许知遥","无核心道具","画面采用动作终态：耳机已经摘下并放在台面，许知遥双手撑住修复台、半起身、闭口；‘摘下再撑住’的过程留给后期视频运动。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-07\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-07\f4.png","generated-videos/E05-07/E05-07-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-07/镜3","参见 offline-production/sound-music-cues.csv：E05-07","无","可用首尾帧约束；按设计时长回切"
"155","5","E05-07","4","527.5","77.5","80.5","10","3","3","中景","固定","许知遥、程野","橙色应急电台","许潮：“我不是跟爸赌气跑掉的。”（声音被潮声逐渐淹没）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-07\f4.png","","generated-videos/E05-07/E05-07-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-07/镜4","参见 offline-production/sound-music-cues.csv：E05-07","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"156","5","E05-08","1","530.5","80.5","84","0","3.5","4","中景","固定","许知遥、程野","橙色应急电台、真正的载货联单","动作：许知遥把同一台摔裂电台放在联单旁；联单只铺在保育衬纸上，尚未装进透明袋。程野说：‘他留下证据，又回去救人。’","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-08\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-08\f2.png","generated-videos/E05-08/E05-08-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-08/镜1","参见 offline-production/sound-music-cues.csv：E05-08","无","可用首尾帧约束；按设计时长回切"
"157","5","E05-08","2","534","84","87.5","3.5","3.5","4","特写","推镜","许知遥","无核心道具","许知遥：“高嵩把他的选择，改成了罪。”（重新稳住声音）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-08\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-08\f3.png","generated-videos/E05-08/E05-08-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-08/镜2","参见 offline-production/sound-music-cues.csv：E05-08","无","可用首尾帧约束；按设计时长回切"
"158","5","E05-08","3","537.5","87.5","91.5","7","4","4","特写","固定","程野","程野残录手机","动作：程野打开手机里的残缺录音。；高嵩：“她的学籍和住处，都在我手里。”（手机残录，断续但可辨）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-08\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-08\f4.png","generated-videos/E05-08/E05-08-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-08/镜3","参见 offline-production/sound-music-cues.csv：E05-08","无","可用首尾帧约束；按设计时长回切"
"159","5","E05-08","4","541.5","91.5","95","11","3.5","4","特写","固定","许知遥、程野","程野残录手机","高嵩：“要想保住女儿，就让他签。”（手机残录，尾句被杂音切断）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-08\f4.png","","generated-videos/E05-08/E05-08-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-08/镜4","参见 offline-production/sound-music-cues.csv：E05-08","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"160","5","E05-09","1","545","95","98.5","0","3.5","4","特写","推镜","许知遥","真正的载货联单、许德海事故责任书","动作：许知遥把唯一一张父亲责任书放在同一张尚未装袋的联单旁，眼睛停在模糊签名上，说：‘爸不是认罪。他是在替我挡。’P05 右下角必须完整入画，蓝黑模糊签名和褪色椭圆印可辨但不可读；两张纸分别裸放在中性衬纸上。只有许知遥入画并开口；程野、P06 手机、摔裂电台、金属文件筒、三个备份盘和透明保护袋均不出现。她表达的是个人判断，不是已核实结论或免责认定。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-09\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-09\f2.png","generated-videos/E05-09/E05-09-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-09/镜1","参见 offline-production/sound-music-cues.csv：E05-09","无","可用首尾帧约束；按设计时长回切"
"161","5","E05-09","2","548.5","98.5","103","3.5","4.5","5","中景","固定","许知遥、程野","橙色应急电台、真正的载货联单、许德海事故责任书","程野逐件确认恰好三件不同证物：一台摔裂电台、一张尚未装袋的联单和一张责任书，并说：‘录音、联单、责任书，现在能互相对上。’P01 保留黑色熔痕、右侧裂开结构、盐霜擦痕和弯天线；P05 右下蓝黑模糊签名与褪色椭圆印入画但不可读。只有程野开口，许知遥闭口；不出现手机、备份盘、透明袋、重复证物或可读文字。这里仅表示调查线索可以相互印证，不代表真实性鉴定、定罪或免责。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-09\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-09\f3.png","generated-videos/E05-09/E05-09-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-09/镜2","参见 offline-production/sound-music-cues.csv：E05-09","无","可用首尾帧约束；按设计时长回切"
"162","5","E05-09","3","553","103","106","8","3","3","特写","固定","许知遥","无核心道具","许知遥从证物方向抬眼看向同一扇铁丝玻璃窗外，说：‘还差公开。’窗户原有的放射状蛛裂必须保留在同一位置，玻璃不能自动修复。只有许知遥入画并开口；其他人物、全部证物和所有屏幕均在画外，不生成可读文字、界面或字幕。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-09\f3.png","","generated-videos/E05-09/E05-09-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-09/镜3","参见 offline-production/sound-music-cues.csv：E05-09","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"163","5","E05-10","1","556","106","109.5","0","3.5","4","中景","固定","许知遥、程野","真正的载货联单、三份独立备份盘","动作：许知遥把修复录音复制到恰好三个无标签、彼此独立的存储盘，并把音频校验摘要、联单照片和复查申请通过预先确认的受理通道提交；原始联单仍在现场由程野装入唯一一个透明保护袋。此镜不生成可读界面，两人嘴唇完全闭合。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-10\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-10\f2.png","generated-videos/E05-10/E05-10-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-10/镜1","参见 offline-production/sound-music-cues.csv：E05-10","无","可用首尾帧约束；按设计时长回切"
"164","5","E05-10","2","559.5","109.5","112.5","3.5","3","3","特写","固定","程野","真正的载货联单","联单已经完全进入同一个透明保护袋，袋口完全封闭，没有纸边外露，之后绝不再打开。程野拿起唯一一袋联单，独自开口说：‘去渡口。’只出现程野和这一袋联单；不出现散纸、重复证物、电台、手机、存储盘或可读文字。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-10\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-10\f3.png","generated-videos/E05-10/E05-10-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-10/镜2","参见 offline-production/sound-music-cues.csv：E05-10","无","可用首尾帧约束；按设计时长回切"
"165","5","E05-10","3","562.5","112.5","116","6.5","3.5","4","全景","固定","许知遥、程野","橙色应急电台、真正的载货联单、程野残录手机、三份独立备份盘","动作：许知遥拿同一台未修复的摔裂电台，黑色熔痕、右侧裂开结构、盐霜擦痕和弯天线保持不变；程野拿已完全装入且袋口完全封闭的唯一一袋联单，绝不打开。两人闭口快步走向门口；出发前，程野已把同一部裂屏残录手机完全收入内侧口袋并随身带走，手机不出画；恰好三个存储盘留在台面。距九点一分钟只由画外闹钟声提示，不显示手机、数字或界面。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-10\f3.png","","generated-videos/E05-10/E05-10-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E05-10/镜3","参见 offline-production/sound-music-cues.csv：E05-10","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"166","6","E06-01","1","566","0","4.5","0","4.5","5","中景","跟拍","高嵩、程野","真正的载货联单","动作：高嵩冲向唯一一根现场音响线；程野侧身阻挡，并把装有同一张联单的封闭透明保护袋护在胸前。两人都闭口，此镜不出现电台或备份盘。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-01\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-01\f2.png","generated-videos/E06-01/E06-01-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-01/镜1","参见 offline-production/sound-music-cues.csv：E06-01","无","可用首尾帧约束；按设计时长回切"
"167","6","E06-01","2","570.5","4.5","9.5","4.5","5","5","中景","固定","许知遥","橙色应急电台","动作：许知遥按下无字实体播放键，潮声从现场音响涌出；她说：‘你拔一根线，我还有三份备份。’三份备份留在场外，不在画面中出现。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-01\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-01\f3.png","generated-videos/E06-01/E06-01-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-01/镜2","参见 offline-production/sound-music-cues.csv：E06-01","无","可用首尾帧约束；按设计时长回切"
"168","6","E06-01","3","575.5","9.5","14.5","9.5","5","5","特写","固定","高嵩","无核心道具","高嵩：“这是拆迁仪式，不是你的修复室。”（努力维持体面）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-01\f3.png","","generated-videos/E06-01/E06-01-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-01/镜3","参见 offline-production/sound-music-cues.csv：E06-01","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"169","6","E06-02","1","580.5","14.5","18.5","0","4","4","中景","推镜","程野","真正的载货联单","动作：程野保持透明保护袋封闭，把装有联单的保护袋平举给围观者看；手指隔着塑料沿六行模糊编号移动。程野说：‘六桶编号，都在这儿。’","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-02\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-02\f2.png","generated-videos/E06-02/E06-02-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-02/镜1","参见 offline-production/sound-music-cues.csv：E06-02","无","可用首尾帧约束；按设计时长回切"
"170","6","E06-02","2","584.5","18.5","22.5","4","4","4","中景","固定","高嵩","真正的载货联单","动作：前排围观者放下效果图，转身看向联单。；高嵩：“一张泡烂的纸，也配叫证据？”（提高音量压住现场）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-02\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-02\f3.png","generated-videos/E06-02/E06-02-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-02/镜2","参见 offline-production/sound-music-cues.csv：E06-02","无","可用首尾帧约束；按设计时长回切"
"171","6","E06-02","3","588.5","22.5","26","8","3.5","4","特写","固定","许知遥","无核心道具","许知遥：“所以请所有人一起核对。”（不与他争吵）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-02\f3.png","","generated-videos/E06-02/E06-02-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-02/镜3","参见 offline-production/sound-music-cues.csv：E06-02","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"172","6","E06-03","1","592","26","30","0","4","4","中景","推镜","许知遥、程野","无核心道具","动作：防潮报警蜂鸣从音响里连续响起。；许潮：“七月十九日，一点四十七分。”（旧录音里的少年声音，紧张但清楚）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-03\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-03\f2.png","generated-videos/E06-03/E06-03-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-03/镜1","参见 offline-production/sound-music-cues.csv：E06-03","无","可用首尾帧约束；按设计时长回切"
"173","6","E06-03","2","596","30","33.5","4","3.5","4","特写","固定","许知遥、程野","无核心道具","许潮：“我还在货仓外。”（急促喘息中报出位置）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-03\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-03\f3.png","generated-videos/E06-03/E06-03-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-03/镜2","参见 offline-production/sound-music-cues.csv：E06-03","无","可用首尾帧约束；按设计时长回切"
"174","6","E06-03","3","599.5","33.5","37.5","7.5","4","4","中景","固定","高嵩","无核心道具","动作：高嵩后退一步，回头看向停在场边的拆迁设备。；高嵩：“关掉！”（控制第一次崩开）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-03\f3.png","","generated-videos/E06-03/E06-03-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-03/镜3","参见 offline-production/sound-music-cues.csv：E06-03","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"175","6","E06-04","1","603.5","37.5","41.5","0","4","4","中景","推镜","许知遥","橙色应急电台","许知遥：“你怕的不是噪声，是时间。”（把音量推高）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-04\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-04\f2.png","generated-videos/E06-04/E06-04-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-04/镜1","参见 offline-production/sound-music-cues.csv：E06-04","无","可用首尾帧约束；按设计时长回切"
"176","6","E06-04","2","607.5","41.5","46","4","4.5","5","特写","固定","高嵩","无核心道具","动作：发动机启动声盖过现场的低语。；许潮：“高嵩拿了备用钥匙，亲自开船。”（录音里快速报告）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-04\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-04\f3.png","generated-videos/E06-04/E06-04-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-04/镜2","参见 offline-production/sound-music-cues.csv：E06-04","无","可用首尾帧约束；按设计时长回切"
"177","6","E06-04","3","612","46","49.5","8.5","3.5","4","特写","固定","高嵩","无核心道具","高嵩：“那是个孩子胡说！”（指向音响）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-04\f3.png","","generated-videos/E06-04/E06-04-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-04/镜3","参见 offline-production/sound-music-cues.csv：E06-04","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"178","6","E06-05","1","615.5","49.5","53.5","0","4","4","中景","推镜","程野","真正的载货联单","动作：程野把装有同一张联单的封闭透明保护袋平举到现场摄像设备前，隔袋指过六行模糊结构；他说：‘六桶，不是两桶。’","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-05\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-05\f2.png","generated-videos/E06-05/E06-05-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-05/镜1","参见 offline-production/sound-music-cues.csv：E06-05","无","可用首尾帧约束；按设计时长回切"
"179","6","E06-05","2","619.5","53.5","57","4","3.5","4","特写","固定","许知遥","真正的载货联单","许知遥：“编号连续，私章也在。”（逐项对账）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-05\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-05\f3.png","generated-videos/E06-05/E06-05-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-05/镜2","参见 offline-production/sound-music-cues.csv：E06-05","无","可用首尾帧约束；按设计时长回切"
"180","6","E06-05","3","623","57","61.5","7.5","4.5","5","中景","固定","高嵩","真正的载货联单、许德海事故责任书","动作：围观者纷纷举起手机对准联单。；高嵩：“责任书还在，许德海洗不干净。”（退回最后一道旧结论）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-05\f3.png","","generated-videos/E06-05/E06-05-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-05/镜3","参见 offline-production/sound-music-cues.csv：E06-05","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"181","6","E06-06","1","627.5","61.5","65","0","3.5","4","中景","推镜","许知遥","许德海事故责任书","许知遥：“责任书也会进鉴定。”（没有回避）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-06\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-06\f2.png","generated-videos/E06-06/E06-06-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-06/镜1","参见 offline-production/sound-music-cues.csv：E06-06","无","可用首尾帧约束；按设计时长回切"
"182","6","E06-06","2","631","65","69","3.5","4","4","中景","固定","程野、高嵩","真正的载货联单","动作：高嵩伸手去抓封闭透明袋，程野把袋装联单收回身前，全程没有开袋。；程野：“这一次，谁也扔不回水里。”（直视高嵩）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-06\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-06\f3.png","generated-videos/E06-06/E06-06-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-06/镜2","参见 offline-production/sound-music-cues.csv：E06-06","无","可用首尾帧约束；按设计时长回切"
"183","6","E06-06","3","635","69","74","7.5","5","5","特写","固定","高嵩","无核心道具","动作：围观者的现场视频传到项目方后，高嵩的手机连续震动；他低头接起项目主管的电话。；画外信息：“现场拆迁暂停，所有材料原地封存。”（电话里的项目主管，急促而正式）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-06\f3.png","","generated-videos/E06-06/E06-06-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-06/镜3","参见 offline-production/sound-music-cues.csv：E06-06","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"184","6","E06-07","1","640","74","78","0","4","4","中景","推镜","程野","真正的载货联单、程野残录手机","动作：程野把同一部裂屏残录手机放到封闭联单保护袋旁，说：‘还有你的原话，一份不少。’他说完闭口后，手机残录才继续播放。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-07\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-07\f2.png","generated-videos/E06-07/E06-07-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-07/镜1","参见 offline-production/sound-music-cues.csv：E06-07","无","可用首尾帧约束；按设计时长回切"
"185","6","E06-07","2","644","78","82.5","4","4.5","5","特写","固定","高嵩","无核心道具","高嵩：“断断续续的东西，证明不了什么。”（急着替自己定性）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-07\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-07\f3.png","generated-videos/E06-07/E06-07-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-07/镜2","参见 offline-production/sound-music-cues.csv：E06-07","无","可用首尾帧约束；按设计时长回切"
"186","6","E06-07","3","648.5","82.5","86.5","8.5","4","4","中景","固定","高嵩","无核心道具","动作：拆迁设备依次熄火，候船厅前安静下来。；高嵩：“暂停不等于翻案。”（握着手机，声音发紧）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-07\f3.png","","generated-videos/E06-07/E06-07-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-07/镜3","参见 offline-production/sound-music-cues.csv：E06-07","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"187","6","E06-08","1","652.5","86.5","91","0","4.5","5","中景","推镜","许知遥","橙色应急电台、真正的载货联单","许知遥：“对。接下来每一项，都公开核验。”（把同一台摔裂电台放到始终封闭的透明袋旁）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-08\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-08\f2.png","generated-videos/E06-08/E06-08-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-08/镜1","参见 offline-production/sound-music-cues.csv：E06-08","无","可用首尾帧约束；按设计时长回切"
"188","6","E06-08","2","657","91","96","4.5","5","5","中景","固定","许知遥、程野","无核心道具","画外信息：“此前提交的七一九事故材料已受理，启动复查。”（电话扩音里的正式通知，仅表示受理而非结论）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-08\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-08\f3.png","generated-videos/E06-08/E06-08-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-08/镜2","参见 offline-production/sound-music-cues.csv：E06-08","无","可用首尾帧约束；按设计时长回切"
"189","6","E06-08","3","662","96","99.5","9.5","3.5","4","特写","固定","程野","真正的载货联单","短暂时间跳切后，程野双手把封闭的联单保护袋交给按受理流程赶到现场的一双中性手套，开始受控登记交接；接收人员的脸和身体不入画。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-08\f3.png","","generated-videos/E06-08/E06-08-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-08/镜3","参见 offline-production/sound-music-cues.csv：E06-08","在交接动作稳定后，后期可补一张虚构的无机构标识接收回执；不得在生图或 H3 阶段生成可读编号，也不得声称证据链已经完成法律认证。","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"190","6","E06-09","1","665.5","99.5","103.5","0","4","4","全景","推镜","许知遥、程野","橙色应急电台","动作：黄昏时，许知遥把同一台摔裂电台固定进救生圈档案夹层的公开透明支架；这不是隐藏藏匿。程野站在两级石阶上说：‘至少今天，他们停了。’","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-09\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-09\f2.png","generated-videos/E06-09/E06-09-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-09/镜1","参见 offline-production/sound-music-cues.csv：E06-09","无","可用首尾帧约束；按设计时长回切"
"191","6","E06-09","2","669.5","103.5","108.5","4","5","5","特写","固定","许知遥","橙色应急电台","许知遥整理电台的透明归档支架并贴上空白标签，说：‘不是为了赢。是让每一件证据，都能被核验。’标签文字后期处理，生图不生成可读内容。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-09\f2.png","","generated-videos/E06-09/E06-09-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-09/镜2","参见 offline-production/sound-music-cues.csv：E06-09","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"192","6","E06-10","1","674.5","108.5","112.5","0","4","4","全景","固定","许知遥","橙色应急电台","动作：公开透明归档支架里的摔裂电台保持烧痕、未补漆；许知遥收回双手。潮水退下，最低两级石阶露出深浅两道水线。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-10\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-10\f2.png","generated-videos/E06-10/E06-10-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E06-10/镜1","参见 offline-production/sound-music-cues.csv：E06-10","无","可用首尾帧约束；按设计时长回切"
